Period,# of trades,winning trades,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
07/19/2009--01/15/2010,4.0,4.0,100.0,3.0,3.0,100.0,1.0,1.0,100.0
07/29/2009--01/25/2010,5.0,4.0,80.0,4.0,3.0,75.0,1.0,1.0,100.0
08/08/2009--02/04/2010,7.0,4.0,57.14285714285714,5.0,3.0,60.0,2.0,1.0,50.0
08/18/2009--02/14/2010,7.0,4.0,57.14285714285714,5.0,3.0,60.0,2.0,1.0,50.0
08/28/2009--02/24/2010,7.0,4.0,57.14285714285714,5.0,3.0,60.0,2.0,1.0,50.0
09/07/2009--03/06/2010,6.0,3.0,50.0,5.0,3.0,60.0,1.0,0.0,0.0
09/17/2009--03/16/2010,5.0,2.0,40.0,4.0,2.0,50.0,1.0,0.0,0.0
09/27/2009--03/26/2010,6.0,3.0,50.0,5.0,3.0,60.0,1.0,0.0,0.0
10/07/2009--04/05/2010,6.0,3.0,50.0,5.0,3.0,60.0,1.0,0.0,0.0
10/17/2009--04/15/2010,5.0,2.0,40.0,4.0,2.0,50.0,1.0,0.0,0.0
10/27/2009--04/25/2010,6.0,3.0,50.0,5.0,3.0,60.0,1.0,0.0,0.0
11/06/2009--05/05/2010,6.0,3.0,50.0,5.0,3.0,60.0,1.0,0.0,0.0
11/16/2009--05/15/2010,10.0,4.0,40.0,6.0,4.0,66.66666666666666,4.0,0.0,0.0
11/26/2009--05/25/2010,11.0,4.0,36.36363636363637,6.0,4.0,66.66666666666666,5.0,0.0,0.0
12/06/2009--06/04/2010,10.0,3.0,30.0,5.0,3.0,60.0,5.0,0.0,0.0
12/16/2009--06/14/2010,12.0,5.0,41.66666666666667,6.0,4.0,66.66666666666666,6.0,1.0,16.666666666666664
12/26/2009--06/24/2010,12.0,5.0,41.66666666666667,6.0,4.0,66.66666666666666,6.0,1.0,16.666666666666664
01/05/2010--07/04/2010,14.0,7.0,50.0,7.0,5.0,71.42857142857143,7.0,2.0,28.57142857142857
01/15/2010--07/14/2010,14.0,7.0,50.0,7.0,5.0,71.42857142857143,7.0,2.0,28.57142857142857
01/25/2010--07/24/2010,13.0,7.0,53.84615384615385,7.0,5.0,71.42857142857143,6.0,2.0,33.33333333333333
02/04/2010--08/03/2010,13.0,8.0,61.53846153846154,7.0,6.0,85.71428571428571,6.0,2.0,33.33333333333333
02/14/2010--08/13/2010,15.0,9.0,60.0,9.0,7.0,77.77777777777779,6.0,2.0,33.33333333333333
02/24/2010--08/23/2010,15.0,9.0,60.0,9.0,7.0,77.77777777777779,6.0,2.0,33.33333333333333
03/06/2010--09/02/2010,15.0,8.0,53.333333333333336,8.0,6.0,75.0,7.0,2.0,28.57142857142857
03/16/2010--09/12/2010,15.0,8.0,53.333333333333336,8.0,6.0,75.0,7.0,2.0,28.57142857142857
03/26/2010--09/22/2010,16.0,9.0,56.25,9.0,7.0,77.77777777777779,7.0,2.0,28.57142857142857
04/05/2010--10/02/2010,16.0,9.0,56.25,9.0,7.0,77.77777777777779,7.0,2.0,28.57142857142857
04/15/2010--10/12/2010,11.0,8.0,72.72727272727273,6.0,6.0,100.0,5.0,2.0,40.0
04/25/2010--10/22/2010,11.0,8.0,72.72727272727273,6.0,6.0,100.0,5.0,2.0,40.0
05/05/2010--11/01/2010,10.0,8.0,80.0,6.0,6.0,100.0,4.0,2.0,50.0
05/15/2010--11/11/2010,9.0,7.0,77.77777777777779,6.0,6.0,100.0,3.0,1.0,33.33333333333333
05/25/2010--11/21/2010,11.0,8.0,72.72727272727273,8.0,7.0,87.5,3.0,1.0,33.33333333333333
06/04/2010--12/01/2010,10.0,7.0,70.0,7.0,6.0,85.71428571428571,3.0,1.0,33.33333333333333
06/14/2010--12/11/2010,11.0,8.0,72.72727272727273,8.0,7.0,87.5,3.0,1.0,33.33333333333333
06/24/2010--12/21/2010,11.0,8.0,72.72727272727273,8.0,7.0,87.5,3.0,1.0,33.33333333333333
07/04/2010--12/31/2010,10.0,7.0,70.0,8.0,7.0,87.5,2.0,0.0,0.0
07/14/2010--01/10/2011,10.0,7.0,70.0,8.0,7.0,87.5,2.0,0.0,0.0
