Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
EOG,LONG,2013-12-20,83.49,156,No-Exit,0.0,0.0,2014-01-14,82.03,-227.76,-227.76,BB 20 SMA Xover Mtm,['CPB']
AMZN,SHORT,2014-01-27,383.72,34,No-Exit,0.0,0.0,2014-01-30,393.77,-341.70,-341.70,BB 20 SMA Xover Mtm,['CPB']
CPB,LONG,2013-12-09,42.85,6663,No-Exit,0.0,0.0,2014-02-05,39.62,-21521.49,-21521.49,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2014-02-11,76.33,180,No-Exit,0.0,0.0,2014-02-19,76.72,70.20,70.20,BB 20 SMA Xover Mtm,['PCLN']
PCLN,LONG,2014-02-10,1207.34,218,No-Exit,0.0,0.0,2014-02-20,1270.58,13786.32,13786.32,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2014-03-14,75.05,1845,No-Exit,0.0,0.0,2014-03-19,76.04,-1821.28,-1821.28,BB 20 SMA Xover Mtm,['PCLN']
PCLN,SHORT,2014-03-14,1286.73,107,No-Exit,0.0,0.0,2014-03-31,1205.46,8695.89,8695.89,BB 20 SMA Xover Mtm,['CMG', 'EQT', 'AMZN']
AMZN,SHORT-SPY-NULL,2014-03-24,357.01,774,No-Exit,0.0,0.0,2014-04-01,343.43,10510.92,0.0,BB 20 SMA Xover Mtm,['CMG', 'EQT']
EQT,SHORT-SPY-NULL,2014-03-26,98.09,1377,No-Exit,0.0,0.0,2014-04-03,101.79,-5094.90,0.0,BB 20 SMA Xover Mtm,['CMG']
CMG,SHORT-SPY-NULL,2014-03-26,564.97,246,No-Exit,0.0,0.0,2014-04-09,555.36,2364.06,0.0,BB 20 SMA Xover Mtm,['AAPL']
