XLE,SHORT,2008-07-07,77.1,1133,No-Exit,0,0,2008-07-07,76.33,873.52,2008-07-25,68.11,10183.61,873.52,10183.61,BB Spread,[],,,,
POT,SHORT,2008-09-03,48.48,1408,No-Exit,0,0,2008-09-03,48,682.61,2008-09-08,50.16,-2366.41,682.61,682.61,BB Spread,[],,,,
IBM,SHORT,2008-10-02,96.09,769,2008-10-02,96.09,0,2008-10-02,95.13,738.96,2008-10-03,93.15,2261.58,738.96,2261.58,BB Spread,['BBRY'],,,,
BBRY,SHORT,2008-09-29,68.91,1255,No-Exit,0,0,2008-09-29,68.22,864.82,2008-10-07,61.15,9738.8,864.82,9738.8,BB Spread,[],,,,
XOM,SHORT,2008-10-10,54.47,1715,No-Exit,0,0,2008-10-10,53.93,934.16,2008-10-13,62.1,-13085.38,934.16,934.16,BB Spread,[],,,,
IWM,SHORT,2009-01-15,42.03,1967,No-Exit,0,0,2009-01-15,41.61,834.08,2009-01-16,43.95,-3771.26,834.08,834.08,BB Spread,[],,,,
AMGN,SHORT,2009-02-27,46.89,1428,No-Exit,0,0,2009-02-27,46.42,669.64,2009-03-10,43.96,4194.46,669.64,4194.46,BB Spread,[],,,,
CRM,SHORT,2009-05-26,8.86,9811,2009-05-26,9.16,-2943.3,No-Exit,0,0,2009-05-27,9.34,-4709.28,-2943.3,-2943.3,BB Spread,[],,,,
BBRY,SHORT,2009-06-22,71,1079,No-Exit,0,0,2009-06-22,70.29,766.09,2009-06-30,71.27,-291.33,766.09,766.09,BB Spread,['BA'],,,,
BA,SHORT,2009-06-24,37.48,1975,No-Exit,0,0,2009-06-24,37.1,744.63,2009-07-09,34.74,5411.82,744.63,5411.82,BB Spread,[],,,,
APOL,SHORT,2009-10-29,60.88,1188,2009-10-29,61.34,-546.48,2009-10-29,60.27,723.25,2009-11-10,56.29,5452.92,-546.48,5452.92,BB Spread,[],,,,
AAPL,SHORT,2009-12-07,26.12,113,2009-12-07,26.15,-3.59,2009-12-07,25.86,29.55,2009-12-08,25.62,56.94,-3.59,56.94,BB Spread,['FSLR'],,,,
POT,SHORT,2009-12-18,33.18,2677,No-Exit,0,0,2009-12-18,32.84,901.88,2010-01-04,33.64,-1243.36,901.88,901.88,BB Spread,['AAPL'],,,,
GS,SHORT,2010-01-22,148.95,197,No-Exit,0,0,2010-01-22,147.46,293.43,2010-02-02,144.22,931.94,293.43,931.94,BB Spread,['QCOM', 'QQQ', 'JPM', 'FCX'],
QQQ,SHORT,2010-01-25,42.17,1759,No-Exit,0,0,2010-01-28,41.75,741.97,2010-02-03,41.64,935.95,741.97,935.95,BB Spread,['QCOM', 'JPM', 'FCX'],,
JPM,SHORT,2010-01-22,36.03,817,No-Exit,0,0,2010-01-22,35.67,298.16,2010-02-03,36.56,-433.01,298.16,298.16,BB Spread,['QCOM', 'FCX'],,,
FCX,SHORT,2010-01-22,30.55,938,No-Exit,0,0,2010-01-22,30.25,286.58,2010-02-05,28.47,1953.36,286.58,1953.36,BB Spread,['QCOM', 'PNC'],,,
QCOM,SHORT,2010-01-29,36.43,1020,No-Exit,0,0,2010-01-29,36.06,380.36,2010-02-09,34.97,1489.2,380.36,1489.2,BB Spread,['PNC'],,,,
PNC,SHORT,2010-02-04,47.24,1707,No-Exit,0,0,2010-02-04,46.75,828.53,2010-02-10,46.92,546.24,828.53,828.53,BB Spread,[],,,,
AAPL,SHORT,2010-05-20,32.62,2954,No-Exit,0,0,2010-05-20,32.29,966.57,2010-05-24,33.45,-2455.82,966.57,966.57,BB Spread,[],,,,
NTAP,SHORT,2010-08-13,36.94,2275,2010-08-13,37.44,-1140.58,No-Exit,0,0,2010-08-16,37.44,-1140.58,-1140.58,-1140.58,BB Spread,['AAPL'],,,,
AAPL,SHORT,2010-08-16,33.43,2432,No-Exit,0,0,No-Exit,0,0,2010-08-17,33.83,-973.12,-973.12,-973.12,BB Spread,['BBRY'],,,,
IWM,SHORT,2010-08-20,56.78,593,No-Exit,0,0,2010-08-24,56.22,331.28,2010-08-25,56.4,225.34,331.28,331.28,BB Spread,['GOOGL', 'BBRY', 'BIDU'],,
BBRY,SHORT,2010-08-17,50.37,1586,No-Exit,0,0,2010-08-17,49.87,799.19,2010-08-26,48.07,3647.8,799.19,3647.8,BB Spread,['GOOGL', 'BIDU'],,,
GOOGL,SHORT,2010-08-20,233.53,178,No-Exit,0,0,2010-08-20,231.19,416.49,2010-09-01,227.49,1075.12,416.49,1075.12,BB Spread,['BIDU'],,,,
BIDU,SHORT,2010-08-24,77.74,1073,No-Exit,0,0,2010-08-24,76.96,834.15,2010-09-01,80.44,-2897.1,834.15,834.15,BB Spread,[],,,,
LVS,SHORT,2011-03-02,37.98,2653,No-Exit,0,0,2011-03-02,37.6,1007.56,2011-03-03,38.84,-2286.16,1007.56,1007.56,BB Spread,[],,,,
QCOM,SHORT,2011-03-10,50.81,1958,No-Exit,0,0,2011-03-10,50.3,994.77,2011-03-18,49.41,2732.24,994.77,2732.24,BB Spread,[],,,,
WBA,SHORT,2011-03-23,35.95,2735,No-Exit,0,0,No-Exit,0,0,2011-03-24,36.63,-1850.64,-1850.64,-1850.64,BB Spread,[],,,,
AAPL,SHORT,2011-04-15,44.25,2280,No-Exit,0,0,2011-04-18,43.81,1005.8,2011-04-19,45.46,-2758.8,1005.8,1005.8,BB Spread,[],,,,
IWM,SHORT,2011-05-17,76.82,34,No-Exit,0,0,No-Exit,0,0,2011-05-19,79.09,-77.06,-77.06,-77.06,BB Spread,[],,,,
XOM,SHORT,2011-08-01,73.65,1260,No-Exit,0,0,2011-08-01,72.91,927.99,2011-08-12,66.4,9139.94,927.99,9139.94,BB Spread,[],,,,
NFLX,SHORT,2011-09-16,167.8,575,2011-09-16,167.8,0,2011-09-16,166.12,964.85,2011-09-19,156.69,6388.25,964.85,6388.25,BB Spread,[],,,,
IWM,SHORT,2011-09-22,60.82,822,No-Exit,0,0,2011-09-22,60.21,499.95,2011-09-27,64.53,-3048.4,499.95,499.95,BB Spread,['TNA', 'BIDU'],,,
BIDU,SHORT,2011-09-23,121.51,597,No-Exit,0,0,2011-09-26,120.26,744.88,2011-09-27,128.78,-4340.19,744.88,744.88,BB Spread,['TNA'],,,,
TNA,SHORT,2011-09-22,16.13,2899,No-Exit,0,0,2011-09-22,15.97,467.57,2011-09-27,19.09,-8573.31,467.57,467.57,BB Spread,[],,,,
AAPL,SHORT,2011-10-05,49.73,1761,2011-10-05,50.84,-1954.71,2011-10-05,49.23,876.33,2011-10-06,50.84,-1954.71,-1954.71,-1954.71,BB Spread,[],,,,
IWM,SHORT,2011-11-22,66.41,1158,No-Exit,0,0,2011-11-23,65.76,757.59,2011-11-29,66.55,-162.12,757.59,757.59,BB Spread,['NTAP', 'QQQ'],,,
QQQ,SHORT,2011-11-18,53.74,787,No-Exit,0,0,2011-11-21,53.22,414.09,2011-11-29,52.94,631.28,414.09,631.28,BB Spread,['NTAP'],,,,
NTAP,SHORT,2011-11-18,34.5,1237,No-Exit,0,0,2011-11-18,34.15,433.62,2011-11-29,35.05,-680.35,433.62,433.62,BB Spread,[],,,,
GMCR,SHORT,2011-12-16,44.49,992,No-Exit,0,0,2011-12-16,44.05,441.35,2011-12-19,46.21,-1705.42,441.35,441.35,BB Spread,[],,,,
JPM,SHORT,2012-04-16,40.02,2344,No-Exit,0,0,2012-04-23,39.63,916.51,2012-04-24,40.13,-257.84,916.51,916.51,BB Spread,['SWK', 'AAPL', 'TPX'],,
AAPL,SHORT,2012-04-20,78.82,516,No-Exit,0,0,2012-04-20,78.02,412.8,2012-04-24,76.11,1399.22,412.8,1399.22,BB Spread,['SWK', 'TPX'],,,
SWK,SHORT,2012-04-20,68.37,409,No-Exit,0,0,2012-04-23,67.69,278.07,2012-04-25,68.78,-168.09,278.07,278.07,BB Spread,['TPX'],,,,
TPX,SHORT,2012-04-23,65.32,1200,No-Exit,0,0,2012-04-23,64.66,789.96,2012-05-02,59.25,7284,789.96,7284,BB Spread,[],,,,
NFLX,SHORT,2012-07-26,59,1755,No-Exit,0,0,2012-07-26,58.41,1040.98,2012-08-06,55.16,6739.2,1040.98,6739.2,BB Spread,[],,,,
CAT,SHORT,2012-09-05,77.37,708,No-Exit,0,0,No-Exit,0,0,2012-09-07,82.32,-3504.16,-3504.16,-3504.16,BB Spread,['NFLX'],,,,
NFLX,SHORT,2012-09-05,55.6,815,No-Exit,0,0,2012-09-05,55.04,453.14,2012-09-07,57.31,-1393.65,453.14,453.14,BB Spread,[],,,,
AAPL,SHORT,2012-10-02,88.51,1185,No-Exit,0,0,No-Exit,0,0,2012-10-04,91.3,-3306.15,-3306.15,-3306.15,BB Spread,[],,,,
EW,SHORT,2012-10-10,83.31,1206,2012-10-10,87.08,-4546.62,No-Exit,0,0,2012-10-11,88.06,-5728.5,-4546.62,-4546.62,BB Spread,[],,,,
DLTR,SHORT,2012-10-12,42.17,1939,No-Exit,0,0,2012-10-12,41.75,817.68,2012-10-23,39.15,5855.78,817.68,5855.78,BB Spread,['CMG'],,,,
CMG,SHORT,2012-10-22,244.2,268,2012-10-22,244.2,0,2012-10-22,241.76,654.46,2012-10-24,238.01,1658.92,654.46,1658.92,BB Spread,[],,,,
BIDU,SHORT,2012-11-01,106.31,486,2012-11-01,107.81,-729,No-Exit,0,0,2012-11-02,107.81,-729,-729,-729,BB Spread,['WCG'],,,,
WCG,SHORT,2012-11-01,47.08,929,No-Exit,0,0,No-Exit,0,0,2012-11-06,48.28,-1114.8,-1114.8,-1114.8,BB Spread,[],,,,
ESRX,SHORT,2012-11-07,54.29,1651,No-Exit,0,0,2012-11-07,53.75,896.33,2012-11-16,51.06,5332.73,896.33,5332.73,BB Spread,[],,,,
AAPL,SHORT,2013-01-15,68.02,1577,No-Exit,0,0,2013-01-15,67.34,1072.64,2013-01-16,68.79,-1217.57,1072.64,1072.64,BB Spread,[],,,,
FFIV,SHORT,2013-04-08,73.37,53,No-Exit,0,0,2013-04-08,72.64,38.89,2013-04-11,73.93,-29.68,38.89,38.89,BB Spread,['NFLX'],,,,
