Ticker,Date,Open,High,Low,Close,Volume,Dividend,Split
WHR,10/08/2007,94.41,94.89,92.79,93.21,377900.0,0.0,1.0
WHR,10/09/2007,93.68,94.24,92.0,93.45,492000.0,0.0,1.0
WHR,10/10/2007,93.41,93.92,91.0,92.28,735600.0,0.0,1.0
WHR,10/11/2007,92.79,93.76,89.77,90.24,775600.0,0.0,1.0
WHR,10/12/2007,90.19,90.78,88.89,89.27,765300.0,0.0,1.0
WHR,10/15/2007,89.39,89.81,87.72,88.93,858300.0,0.0,1.0
WHR,10/16/2007,88.37,90.76,87.77,89.42,802700.0,0.0,1.0
WHR,10/17/2007,89.96,91.16,89.49,90.05,1185200.0,0.0,1.0
WHR,10/18/2007,89.86,89.86,87.84,88.42,1170700.0,0.0,1.0
WHR,10/19/2007,88.21,88.25,85.74,86.14,1148500.0,0.0,1.0
WHR,10/22/2007,85.0,88.19,84.13,87.99,1123600.0,0.0,1.0
WHR,10/23/2007,86.94,86.94,81.56,83.74,3844800.0,0.0,1.0
WHR,10/24/2007,83.3,85.0,83.01,84.72,1043300.0,0.0,1.0
WHR,10/25/2007,84.3,85.88,83.0,83.95,1267200.0,0.0,1.0
WHR,10/26/2007,85.31,85.6,82.78,83.57,764200.0,0.0,1.0
WHR,10/29/2007,84.57,85.11,82.91,83.92,1085300.0,0.0,1.0
WHR,10/30/2007,83.62,83.91,81.56,81.76,1084700.0,0.0,1.0
WHR,10/31/2007,82.6,82.74,78.87,79.18,2432800.0,0.0,1.0
WHR,11/01/2007,78.7,79.14,77.25,77.77,1492900.0,0.0,1.0
WHR,11/02/2007,78.26,79.13,77.28,79.13,1484100.0,0.0,1.0
WHR,11/05/2007,78.92,79.0,76.77,77.64,1032000.0,0.0,1.0
WHR,11/06/2007,77.64,77.64,75.79,77.01,1309100.0,0.0,1.0
WHR,11/07/2007,76.65,76.65,74.38,75.1,1311900.0,0.0,1.0
WHR,11/08/2007,74.57,75.16,72.59,73.86,1829300.0,0.0,1.0
WHR,11/09/2007,73.72,77.18,73.54,75.44,1541600.0,0.0,1.0
WHR,11/12/2007,76.65,81.43,76.5,78.64,2386000.0,0.0,1.0
WHR,11/13/2007,79.91,80.32,78.57,80.04,1258700.0,0.0,1.0
WHR,11/14/2007,80.0,81.09,79.82,80.15,1397100.0,0.43,1.0
WHR,11/15/2007,79.99,79.99,77.9,78.35,1506100.0,0.0,1.0
WHR,11/16/2007,78.81,78.85,75.02,76.16,1616100.0,0.0,1.0
