GOOGL,LONG,2014-06-26,589.3,55,No-Exit,0,0,2014-07-01,591.3,110,2014-07-03,590.15,46.75,110,['V'],,,,,
WHR,LONG,2014-07-09,141.92,176,No-Exit,0,0,No-Exit,0,0,2014-07-10,137.07,-853.31,-853.31,['V'],,,,,
V,LONG,2014-07-02,214.07,95,No-Exit,0,0,2014-07-03,216.06,189.28,2014-07-21,217.73,348.04,189.28,['AMZN', 'CP'],,,,
AMZN,LONG,2014-07-14,347.2,71,No-Exit,0,0,2014-07-14,349.2,142,2014-07-22,355.25,571.55,142,['CP'],,,,,
CP,LONG,2014-07-17,188.36,83,No-Exit,0,0,2014-07-17,190.35,165.44,2014-07-24,197.35,746.48,165.44,[],,,,,
CP,LONG,2014-08-21,200.25,65,No-Exit,0,0,No-Exit,0,0,2014-08-27,198.76,-96.61,-96.61,['AGN', 'URI'],,,,
URI,LONG,2014-08-19,115.7,171,No-Exit,0,0,2014-08-22,117.7,342,2014-09-03,117.95,384.75,342,['AGN'],,,,,
VRX,LONG,2014-09-03,120.65,107,No-Exit,0,0,No-Exit,0,0,2014-09-04,118.53,-226.84,-226.84,['AGN'],,,,,
AGN,LONG,2014-08-19,223.68,147,No-Exit,0,0,2014-08-21,225.68,294,2014-09-05,229.07,792.33,294,[],,,,,
GOOGL,LONG,2014-09-19,601.3,55,No-Exit,0,0,2014-09-19,603.3,110,2014-09-22,593.8,-412.5,110,[],,,,,
WHR,LONG,2014-10-22,154.58,221,No-Exit,0,0,2014-10-23,156.57,440.16,2014-11-04,170.35,3486.16,440.16,['UNP', 'GILD', 'IWM'],,,
GILD,LONG,2014-10-27,112.15,117,No-Exit,0,0,No-Exit,0,0,2014-11-05,106.53,-657.54,-657.54,['UNP', 'IWM'],,,,
UNP,LONG,2014-10-24,112.87,188,No-Exit,0,0,2014-10-28,114.86,374.4,2014-11-12,120.02,1344.2,374.4,['IWM'],,,,,
IWM,LONG,2014-10-29,113.94,73,No-Exit,0,0,2014-10-31,115.93,145.46,2014-11-14,115.97,148.44,145.46,[],,,,,
UNP,LONG-SPY-NULL,2007-10-18,26.38,1421,No-Exit,0,0,2007-10-18,26.82,619.73,2007-10-22,26.28,-147.15,0,['FDX'],,,,,
GD,LONG-SPY-NULL,2011-06-22,66.99,459,No-Exit,0,0,No-Exit,0,0,2011-06-23,65.87,-514.08,0,[],,,,,
VRX,LONG-SPY-NULL,2014-09-25,129.41,254,No-Exit,0,0,2014-09-25,131.41,508,2014-10-07,127.32,-530.86,0,['GD', 'NXPI'],,,,
FDX,SHORT,2007-10-22,97.63,141,No-Exit,0,0,No-Exit,0,0,2007-10-23,99.4,-249.91,-249.91,['IWM'],,,,,
IWM,SHORT,2007-10-22,73.33,316,No-Exit,0,0,No-Exit,0,0,2007-10-23,75.93,-823.14,-823.14,[],,,,,
AAPL,SHORT,2007-11-12,22.18,1669,2007-11-12,22.36,-298.12,2007-11-12,21.91,451.56,2007-11-13,21.76,702.08,-298.12,[],,,,,
FDX,SHORT,2007-11-19,91.97,404,No-Exit,0,0,2007-11-19,90.06,774.11,2007-11-26,89.96,813.25,774.11,[],,,,,
GOOGL,SHORT,2008-01-07,326.97,61,2008-01-07,326.97,0,2008-01-07,325.97,61,2008-01-08,326.5,28.67,61,['AAPL'],,,,,
AAPL,SHORT,2008-01-07,24.17,1526,No-Exit,0,0,2008-01-07,23.9,412.87,2008-01-10,24.34,-259.42,412.87,[],,,,,
CF,SHORT,2008-01-18,83.97,438,No-Exit,0,0,2008-01-22,82.09,825.4,2008-01-24,91.92,-3484.06,825.4,[],,,,,
GOOGL,SHORT,2008-03-04,225.47,153,2008-03-04,225.47,0,2008-03-04,224.47,153,2008-03-05,222.62,436.05,153,[],,,,,
UNP,SHORT,2008-03-07,26.39,1336,No-Exit,0,0,2008-03-07,25.95,584.72,2008-03-11,27.12,-973.6,584.72,['CP', 'CF'],,,,
CF,SHORT,2008-03-11,102.78,284,2008-03-11,102.91,-35.64,No-Exit,0,0,2008-03-12,111.46,-2463.84,-35.64,['CP'],,,,,
CP,SHORT,2008-03-10,61.01,536,No-Exit,0,0,No-Exit,0,0,2008-03-12,63.5,-1334.64,-1334.64,[],,,,,
ALL,SHORT,2008-03-17,37.14,537,No-Exit,0,0,No-Exit,0,0,2008-03-18,38.63,-795.92,-795.92,['AAPL', 'CVS'],,,,
CVS,SHORT,2008-03-17,34.55,961,No-Exit,0,0,No-Exit,0,0,2008-03-19,36.37,-1747.38,-1747.38,['AAPL'],,,,,
GD,SHORT,2008-06-04,75.18,411,No-Exit,0,0,2008-06-06,73.49,694.35,2008-06-13,72.87,949.41,694.35,['CP'],,,,,
CP,SHORT,2008-06-03,63.74,500,No-Exit,0,0,2008-06-06,61.92,912.45,2008-06-16,59.3,2220,912.45,[],,,,,
AAPL,SHORT,2008-06-23,23.32,1420,No-Exit,0,0,No-Exit,0,0,2008-06-25,23.61,-405.95,-405.95,[],,,,,
GD,SHORT,2008-07-08,68.98,477,No-Exit,0,0,No-Exit,0,0,2008-07-09,71.2,-1059.46,-1059.46,[],,,,,
GOOGL,SHORT,2008-07-21,240.22,121,2008-07-21,240.22,0,2008-07-21,239.22,121,2008-07-22,233.5,813.12,121,[],,,,,
GOOGL,SHORT,2008-09-04,228.85,141,No-Exit,0,0,2008-09-04,227.85,141,2008-09-12,217.19,1644.06,141,['AAPL'],,,,,
IWM,SHORT,2008-09-16,63.3,475,2008-09-16,66.06,-1310.43,No-Exit,0,0,2008-09-18,66.57,-1552.68,-1310.43,['AAPL'],,,,,
AAPL,SHORT,2008-09-05,21.45,1489,No-Exit,0,0,2008-09-08,21.18,402.86,2008-09-19,19.29,3220.83,402.86,[],,,,,
WHR,SHORT,2008-10-01,66.15,505,2008-10-01,69.14,-1508.29,No-Exit,0,0,2008-10-02,69.14,-1508.29,-1508.29,[],,,,,
IWM,SHORT,2009-01-15,42.03,774,No-Exit,0,0,No-Exit,0,0,2009-01-16,43.95,-1483.96,-1483.96,['UNP', 'MA'],,,,
UNP,SHORT,2009-01-15,18.45,675,No-Exit,0,0,2009-01-15,17.56,599.81,2009-01-22,18.94,-332.55,599.81,['MA'],,,,,
MA,SHORT,2009-01-16,12.78,1967,No-Exit,0,0,2009-01-16,12.59,385.94,2009-01-28,13.01,-446.78,385.94,[],,,,,
UNP,SHORT,2009-02-20,17.26,1426,2009-02-20,17.86,-854.09,No-Exit,0,0,2009-02-23,17.92,-944.02,-854.09,[],,,,,
GILD,SHORT,2009-02-27,45.42,683,No-Exit,0,0,2009-03-02,43.45,1348.9,2009-03-09,43.63,1225.4,1348.9,[],,,,,
NFLX,SHORT,2009-05-07,42.18,748,No-Exit,0,0,2009-05-07,40.18,1496,2009-05-12,39.77,1802.68,1496,[],,,,,
GILD,SHORT,2009-10-05,44.35,742,No-Exit,0,0,No-Exit,0,0,2009-10-06,45.08,-543.31,-543.31,[],,,,,
