Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,,Strategy,Current-Pos,,,,,,,
HK_0700,SHORT,2009-09-03,113.5,69,2009-09-03,115.96,-169.74,No-Exit,0,0,2009-09-04,115.96,-169.74,-169.74,-169.74,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_0941', 'HK_0363', 'HK_1211'],,,
HK_2338,SHORT,2009-08-20,35.84,244,No-Exit,0,0,2009-08-20,35.48,88.33,2009-09-09,37.56,-419.68,88.33,88.33,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0941', 'HK_0363', 'HK_1211', 'HK_0914', 'HK_0700'],,
HK_0683,SHORT,2009-10-05,39.01,179,2009-10-05,40.45,-257.76,2009-10-05,38.61,72.41,2009-10-07,39.88,-155.73,-257.76,-155.73,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0941', 'HK_0363', 'HK_1211', 'HK_0700'],,,
HK_0363,SHORT,2009-08-31,38.41,203,No-Exit,0,0,2009-08-31,38.02,79.17,2009-12-02,40.12,-347.13,79.17,79.17,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0941', 'HK_1211', 'HK_0700'],,,,
HK_0168,SHORT,2009-12-10,38.41,165,2009-12-10,39.23,-135.3,No-Exit,0,0,2009-12-11,39.7,-212.85,-135.3,-135.3,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0941', 'HK_1211', 'HK_0700'],,,,
HK_1211,SHORT,2009-12-11,68.06,91,2009-12-11,70.07,-182.91,2009-12-11,67.37,62.79,2009-12-16,70.95,-262.99,-182.91,-182.91,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_0941', 'HK_1211', 'HK_0700'],,,
HK_1044,SHORT,2009-12-18,55.2,96,No-Exit,0,0,2009-12-18,54.65,52.99,2009-12-24,57.6,-230.4,52.99,52.99,BB 20 SMA Xover Mtm,['HK_2338', 'HK_1088', 'HK_0683', 'HK_0941', 'HK_1211', 'HK_0914', 'HK_0700'],
HK_2338,SHORT,2009-12-16,64.55,106,2009-12-16,66.45,-201.43,2009-12-16,63.89,70.44,2009-12-28,65.95,-148.4,-201.43,-148.4,BB 20 SMA Xover Mtm,['HK_1088', 'HK_0683', 'HK_0941', 'HK_1211', 'HK_0914', 'HK_0700'],,
HK_1088,SHORT,2009-12-18,37.42,124,No-Exit,0,0,2009-12-18,37.04,46.81,2010-01-04,38.67,-155,46.81,46.81,BB 20 SMA Xover Mtm,['HK_0683', 'HK_1211', 'HK_0914', 'HK_0700'],,,,
HK_1211,SHORT,2009-12-18,65,60,No-Exit,0,0,2009-12-18,64.35,39,2010-01-06,71.8,-408,39,39,BB 20 SMA Xover Mtm,['HK_0683', 'HK_1211', 'HK_0914', 'HK_0700'],,,,
HK_0941,SHORT,2010-01-27,73.06,105,No-Exit,0,0,No-Exit,0,0,2010-02-02,75.69,-276.15,-276.15,-276.15,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0168', 'HK_0683', 'HK_0363', 'HK_1211', 'HK_0914', 'HK_0700'],
