Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos,,,
AMZN,SHORT,2013-10-08,306.93,41,No-Exit,0,0,2013-10-18,319.36,-509.63,-509.63,BB 20 SMA Xover Mtm,['PCLN'],,,
AAPL,LONG,2013-01-02,79.12,85,No-Exit,0,0,2013-01-14,71.81,-620.99,-620.99,BB 20 SMA Xover Mtm,['AGN', 'EQT'],,
VLO,LONG,2008-04-17,52.2,3488,No-Exit,0,0,2008-04-23,52.02,-627.84,-627.84,BB 20 SMA Xover Mtm,[],,,
DTV,SHORT,2013-12-17,65.09,219,No-Exit,0,0,2013-12-30,68.05,-648.24,-648.24,BB 20 SMA Xover Mtm,['EOG', 'CPB'],,
AAPL,SHORT,2009-05-13,17.6,596,No-Exit,0,0,2009-05-26,18.69,-649.64,-649.64,BB 20 SMA Xover Mtm,[],,,
AMZN,SHORT,2012-12-27,246.15,55,No-Exit,0,0,2013-01-07,262.97,-925.1,-925.1,BB 20 SMA Xover Mtm,['AGN', 'AAPL', 'EQT'],
GRMN,LONG-SPY-NULL,2008-02-20,73,108,2008-02-20,63.6,-1015.2,2008-02-21,63.6,-1015.2,0,BB 20 SMA Xover Mtm,['TAP'],,,
CTXS,SHORT,2012-05-11,77.57,3472,No-Exit,0,0,2012-05-21,77.88,-1076.32,-1076.32,BB 20 SMA Xover Mtm,['DISCA', 'PCLN'],,
EQT,LONG-SPY-NULL,2012-12-21,59.76,4558,No-Exit,0,0,2013-01-29,59.52,-1093.92,0,BB 20 SMA Xover Mtm,[],,,
NFLX,LONG,2011-12-13,76.01,153,No-Exit,0,0,2011-12-19,68.83,-1098.54,-1098.54,BB 20 SMA Xover Mtm,['AAPL'],,,
HCP,SHORT,2013-10-04,39.42,375,No-Exit,0,0,2013-10-17,42.35,-1098.75,-1098.75,BB 20 SMA Xover Mtm,['PCLN', 'AMZN'],,
AAPL,LONG,2009-01-06,13.71,777,No-Exit,0,0,2009-01-14,12.14,-1217.67,-1217.67,BB 20 SMA Xover Mtm,['GD', 'FSLR'],,
AAPL,SHORT,2010-08-12,35.24,8138,No-Exit,0,0,2010-09-01,35.41,-1371.83,-1371.83,BB 20 SMA Xover Mtm,[],,,
AAPL,SHORT,2014-04-07,75.21,3862,No-Exit,0,0,2014-04-23,75.58,-1428.94,-1428.94,BB 20 SMA Xover Mtm,['PCLN'],,,
