Ticker,Details,Date,Open,High,Low,Close,Volume
CP,Canadian Pacific Railway Limit @ NYSE,04/08/2008,59.99,60.44,59.53,59.87,436000
CP,Canadian Pacific Railway Limit @ NYSE,04/09/2008,59.91,60.07,57.75,58.24,606900
CP,Canadian Pacific Railway Limit @ NYSE,04/10/2008,58.31,59.38,57.44,59.28,544800
CP,Canadian Pacific Railway Limit @ NYSE,04/11/2008,59.11,59.11,57.43,57.82,438900
CP,Canadian Pacific Railway Limit @ NYSE,04/14/2008,57.85,58,57.21,57.42,369300
CP,Canadian Pacific Railway Limit @ NYSE,04/15/2008,57.66,57.76,56.51,57.57,673900
CP,Canadian Pacific Railway Limit @ NYSE,04/16/2008,58.97,61.78,58.97,61.57,780700
CP,Canadian Pacific Railway Limit @ NYSE,04/17/2008,61.15,61.21,59.88,60.58,335400
CP,Canadian Pacific Railway Limit @ NYSE,04/18/2008,61.67,62.46,61.49,62.32,623100
CP,Canadian Pacific Railway Limit @ NYSE,04/21/2008,62.03,64.46,62.03,63.94,927000
CP,Canadian Pacific Railway Limit @ NYSE,04/22/2008,61.48,62.51,59.67,60.78,1061700
CP,Canadian Pacific Railway Limit @ NYSE,04/23/2008,60.25,60.25,58.81,59.98,759700
CP,Canadian Pacific Railway Limit @ NYSE,04/24/2008,60.16,60.86,59.05,60.84,519400
CP,Canadian Pacific Railway Limit @ NYSE,04/25/2008,60.8,60.95,59.53,60.8,481500
CP,Canadian Pacific Railway Limit @ NYSE,04/28/2008,60.89,62.11,60.89,61.55,341300
CP,Canadian Pacific Railway Limit @ NYSE,04/29/2008,60.89,61.4,60.03,60.92,993200
CP,Canadian Pacific Railway Limit @ NYSE,04/30/2008,61.51,62.98,61.37,62.19,1032300
CP,Canadian Pacific Railway Limit @ NYSE,05/01/2008,61.35,62.95,61.19,62.69,557800
CP,Canadian Pacific Railway Limit @ NYSE,05/02/2008,63.09,65.53,63.09,65.27,912700
CP,Canadian Pacific Railway Limit @ NYSE,05/05/2008,64.53,65.73,64.53,65.06,511000
CP,Canadian Pacific Railway Limit @ NYSE,05/06/2008,64.37,66.4,63.84,66.32,463300
CP,Canadian Pacific Railway Limit @ NYSE,05/07/2008,66.27,66.27,64.61,64.67,568700
CP,Canadian Pacific Railway Limit @ NYSE,05/08/2008,64.05,66.42,64.05,66.09,634300
CP,Canadian Pacific Railway Limit @ NYSE,05/09/2008,65.73,66.23,65.34,65.75,417200
CP,Canadian Pacific Railway Limit @ NYSE,05/12/2008,66.22,66.22,64.43,65.18,573500
CP,Canadian Pacific Railway Limit @ NYSE,05/13/2008,65.2,65.2,64.26,64.82,431300
CP,Canadian Pacific Railway Limit @ NYSE,05/14/2008,65.18,66.26,64.58,65.56,378900
CP,Canadian Pacific Railway Limit @ NYSE,05/15/2008,66.06,66.06,65.1,66.01,338300
CP,Canadian Pacific Railway Limit @ NYSE,05/16/2008,66.34,66.78,65.58,65.87,325200
CP,Canadian Pacific Railway Limit @ NYSE,05/19/2008,66.13,68.48,66.09,67.05,409000
CP,Canadian Pacific Railway Limit @ NYSE,05/20/2008,67.05,67.2,66.35,66.75,325400
CP,Canadian Pacific Railway Limit @ NYSE,05/21/2008,66.81,67.49,66.41,66.7,776400
CP,Canadian Pacific Railway Limit @ NYSE,05/22/2008,66.19,67.25,65.9,66.04,725700
CP,Canadian Pacific Railway Limit @ NYSE,05/23/2008,66.12,66.12,63.67,64.11,565900
CP,Canadian Pacific Railway Limit @ NYSE,05/27/2008,65.46,65.55,63.4,64.34,585900
CP,Canadian Pacific Railway Limit @ NYSE,05/28/2008,64.88,66.96,64.88,66.82,621200
CP,Canadian Pacific Railway Limit @ NYSE,05/29/2008,66.59,67.97,66.57,67.5,487200
CP,Canadian Pacific Railway Limit @ NYSE,05/30/2008,67.59,67.59,65.41,65.79,569700
CP,Canadian Pacific Railway Limit @ NYSE,06/02/2008,64.09,64.85,63,63.05,975900
CP,Canadian Pacific Railway Limit @ NYSE,06/03/2008,63.22,63.89,62.11,62.75,619600
CP,Canadian Pacific Railway Limit @ NYSE,06/04/2008,62.26,62.51,61.1,61.42,586400
CP,Canadian Pacific Railway Limit @ NYSE,06/05/2008,61.48,62.45,61.32,62.41,901000
CP,Canadian Pacific Railway Limit @ NYSE,06/06/2008,62.07,62.13,60.49,60.58,715100
CP,Canadian Pacific Railway Limit @ NYSE,06/09/2008,60.88,60.88,58.99,59.73,727100
CP,Canadian Pacific Railway Limit @ NYSE,06/10/2008,59.35,59.8,58.38,59.3,744100
CP,Canadian Pacific Railway Limit @ NYSE,06/11/2008,59.33,59.73,57.15,57.52,799600
CP,Canadian Pacific Railway Limit @ NYSE,06/12/2008,57.77,58.5,57.59,57.98,445700
CP,Canadian Pacific Railway Limit @ NYSE,06/13/2008,58.17,59.17,57.66,58.08,516300
CP,Canadian Pacific Railway Limit @ NYSE,06/16/2008,58.13,59.66,57.77,59,436427
CP,Canadian Pacific Railway Limit @ NYSE,06/17/2008,59.35,60.28,58.25,58.53,469300
CP,Canadian Pacific Railway Limit @ NYSE,06/18/2008,58.18,58.49,57.24,57.65,559900
CP,Canadian Pacific Railway Limit @ NYSE,06/19/2008,57.87,59.11,57.38,58.81,1036500
CP,Canadian Pacific Railway Limit @ NYSE,06/20/2008,58.49,60.52,58.49,60.16,1223400
CP,Canadian Pacific Railway Limit @ NYSE,06/23/2008,60,60.45,59.11,60,681100
CP,Canadian Pacific Railway Limit @ NYSE,06/24/2008,60.25,61.31,59.45,59.54,1061000
CP,Canadian Pacific Railway Limit @ NYSE,06/25/2008,60.5,61.35,59.86,60.87,837500
CP,Canadian Pacific Railway Limit @ NYSE,06/26/2008,60.7,61.1,60.5,60.81,922700
CP,Canadian Pacific Railway Limit @ NYSE,06/27/2008,61,61.62,59.97,60.47,1201626
CP,Canadian Pacific Railway Limit @ NYSE,06/30/2008,59.35,60.86,59.35,59.69,639900
CP,Canadian Pacific Railway Limit @ NYSE,07/01/2008,59.03,59.15,57,57.81,990500
